requirement_id,chapter,keyword_profile,text
CDS200-R014,CDS-200,SHOULD+MAY,The three-tier shape **Product Family → Product Type → Category** (e.g. Apparel → Shirt → Linen Shirts) SHOULD be adopted as the recommended profile shape; industry profiles (CDS-1500) refine it. Implementations MAY use a different documented internal structure without loss of conformance to this section.
CDS200-R015,CDS-200,MUST,A product MUST have exactly one primary internal category.
CDS200-R016,CDS-200,SHOULD,The primary category SHOULD be the most specific applicable node — a node none of whose child nodes applies to the product.
CDS200-R017,CDS-200,MUST,"Where more than one category could serve as the primary category, the assignment MUST be resolved using an **organisation-declared, documented, ordered set of tie-break rules**, applied in order until one yields a decision and applied consistently across the catalogue. The following ordering is the **recommended default** *(informative)*:"
CDS200-R018,CDS-200,MUST,"Every tie-break decision MUST be recorded in a taxonomy decision log entry carrying at least: the product type or product concerned, the category chosen, the rule applied, and the date. Subsequent products matching a logged entry MUST follow it; changing the decision requires a superseding log entry, not an ad-hoc different assignment."
CDS200-R019,CDS-200,MUST NOT+MAY,"A product MAY additionally hold **secondary category placements**. Secondary placements are non-projecting: they MUST NOT drive external taxonomy mappings, required-attribute inheritance or collection projection unless a rule explicitly and individually opts a placement in."
CDS200-R020,CDS-200,MUST NOT+MUST+MAY,External taxonomy identifiers (channel or standard taxonomies) MUST be stored as Taxonomy Mappings from internal categories (or products) and MUST NOT replace the internal taxonomy. Category-level mappings MAY be inherited by child categories.
CDS200-R021,CDS-200,MUST+MAY,"A product MAY carry a per-channel taxonomy mapping override where the category-level mapping is wrong for that specific product on that specific channel. Such an override MUST be recorded as a governed override record (CDS-500 §21), scoped to product + channel."
CDS200-R022,CDS-200,MUST NOT+MAY,A product MAY appear in multiple collections without being assigned multiple primary categories. Collections are merchandising groupings and MUST NOT redefine classification (presentation rules: CDS-600).
CDS200-R023,CDS-200,MUST,Every governed attribute MUST have an Attribute Definition.
CDS200-R024,CDS-200,MUST,Products and variants MUST store values; Attribute Definitions MUST store behaviour.
CDS200-R025,CDS-200,SHOULD,A channel mapping SHOULD be defined on the Attribute Definition rather than repeated on every product.
CDS200-R026,CDS-200,MUST,"The Attribute Definition MUST declare which value layer feeds each consuming channel (canonical value, display label or facet value); channels are never fed implicitly from the facet layer (ADR-D4)."
CDS200-R027,CDS-200,MUST,"Every governed product fact MUST have exactly one declared authority, recorded on the Attribute Definition or in an equivalent authority matrix."
CDS200-R028,CDS-200,MUST NOT,Two systems MUST NOT simultaneously claim authoritative ownership of the same product fact.
CDS200-R029,CDS-200,MUST,"Delegation of authority MUST be an explicit recorded declaration on the Attribute Definition or authority matrix, carrying at least: the delegated fact scope, the delegate system, the approving owner, the effective date and a review date. Undeclared delegation is non-conformant; ""the other system just edits it"" is not delegation."
CDS200-R030,CDS-200,MUST,"A channel-specific deviation from the projected canonical value MUST be expressed as a governed override record as defined in CDS-500 §21 (scope, replacement value, reason, owner, approval, time bounds, verification expectation). A downstream edit to a PIM-owned field without an active override record is drift (CDS-500 §11)."
CDS200-R031,CDS-200,MUST,Read-back (observed) values MUST be stored separately from canonical values (observation record: CDS-500 §15). See also R003.
CDS200-R032,CDS-200,MUST,An implementation MUST be able to determine which canonical revision produced a published channel state (record linkage: CDS-500 §8).
CDS200-R033,CDS-200,SHOULD,"Mappings and dictionaries SHOULD be versioned, because changes to them alter downstream output without changing the product record (dictionary versioning: CDS-400; mapping-set versioning: CDS-500)."
CDS200-R034,CDS-200,MUST,Conditional requirements MUST be represented as explicit rules rather than undocumented staff knowledge.
CDS200-R035,CDS-200,MUST,"Validation errors MUST distinguish missing, invalid, conflicting and unmapped values."
CDS200-R036,CDS-200,SHOULD,"Rules SHOULD operate on canonical values and declared channel projections, not on uncontrolled display text."
CDS300-R001,CDS-300,MUST,A visible field identifier MUST communicate its semantic role without requiring ordinary users to consult a separate document during routine work.
CDS300-R002,CDS-300,MUST,"The namespace segment MUST be two to eight uppercase ASCII characters, MUST begin with a letter, and MUST be followed by a single underscore separator."
CDS300-R003,CDS-300,MUST+SHOULD+MAY,The field-name portion SHOULD use lowercase snake_case. The first field-name segment MUST begin with a lowercase letter; subsequent segments MAY be numeric (e.g. `CH_google_custom_label_0`).
CDS300-R004,CDS-300,MUST NOT+MUST,"The complete identifier MUST NOT contain spaces, colons, equals signs, dots, slashes, backslashes, commas or Unicode punctuation, and MUST use only ASCII letters, digits and underscores unless a profile explicitly permits another character set."
CDS300-R005,CDS-300,MUST,Identifiers MUST match the regular expression:
CDS300-R006,CDS-300,MUST,A field registry MUST enforce identifier uniqueness case-insensitively.
CDS300-R007,CDS-300,SHOULD NOT+MAY,"Hyphens MAY appear inside controlled values and tags where CDS-400 permits, but SHOULD NOT be used as a field-name separator."
CDS300-R008,CDS-300,MUST NOT,"Names MUST NOT use positional codes such as `field_1`, `misc_2` or `data_a` as permanent identifiers."
CDS300-R009,CDS-300,MUST,Every visible field identifier MUST belong to a prefix registered in this registry or in the implementation's extension registry (§20). *(Upholds CDS-P-09.)*
CDS300-R010,CDS-300,MUST,"An implementation MUST maintain a namespace registry identifying, for every visible prefix: meaning, owner, allowed scope, publication behaviour, lifecycle status (active, deprecated, reserved) and — for deprecated prefixes — replacement and deprecation date."
CDS300-R011,CDS-300,MUST,"A field MUST use the namespace that describes its semantic responsibility, not its current storage location or delivery mechanism."
CDS300-R012,CDS-300,MUST NOT,"WF_, QA_, SYS_, AI_, IMPORT_ and OBS_ fields MUST NOT be published to customer-facing channels unless a channel profile explicitly requires them."
CDS300-R013,CDS-300,MUST,The STD_ namespace MUST contain exactly the fields enumerated in the STD_ registry table. Adding or removing an STD_ field is a registry change under CDS-800 change control.
CDS300-R014,CDS-300,MUST,A structured product attribute not present in the STD_ enumeration MUST use MF_ (or a more specific registered namespace whose domain it belongs to).
CDS300-R015,CDS-300,SHOULD,"The field-name portion SHOULD state the product fact or operational purpose in plain, specific language, using terminology defined by CDS-100/CDS-400 or by the applicable channel specification."
CDS300-R016,CDS-300,SHOULD NOT+MAY,"Acronyms such as SKU, GTIN, MPN, URL and SEO MAY be retained where widely recognised; other unexplained abbreviations SHOULD NOT be used."
CDS300-R017,CDS-300,MUST,Every machine key exposed to users MUST have a stable semantic identifier or an equally self-describing equivalent.
CDS300-R018,CDS-300,MUST NOT+MAY,A human label MAY contain spaces and title case but MUST NOT replace the semantic identifier in exports or integrations.
CDS300-R019,CDS-300,MUST,"The mapping between semantic identifier, machine key and channel destination MUST be discoverable from the Attribute Definition or field registry."
CDS300-R020,CDS-300,SHOULD+MAY,"Exports and integrations SHOULD preserve identifier case. Where a target is lossy (e.g. a platform that case-folds keys), an export MAY apply case-folding **only where the registry or Attribute Definition declares a reversible mapping** between the semantic identifier and the folded form; the folded form then round-trips deterministically. *(Resolves finding 300-6; upholds CDS-P-09.)*"
CDS300-R021,CDS-300,MUST,The first field-name segment after `CH_` MUST identify the channel using its registered lowercase channel key.
CDS300-R022,CDS-300,MUST,"Channel keys MUST remain stable even when the technical transport changes (file feed, API or otherwise)."
CDS300-R023,CDS-300,MUST NOT+SHOULD NOT,CH_ MUST NOT be used for a canonical attribute merely because that attribute is sent to a channel; a canonical fact used by many channels remains canonical and SHOULD NOT be duplicated under multiple CH_ fields unless distinct channel representations are required.
CDS300-R024,CDS-300,declarative,"A field is a feed-layer projection if and only if it is a literal serialized feed column; such projections live under CH_, and the feed artifact is verified end-to-end at the formatted-output layer (verification model: CDS-500). *(ADR-D24, replacing the untestable ""retain DF_ where useful"".)*"
CDS300-R025,CDS-300,MUST,"MF_ fields MUST describe product information — never integration status, workflow state or system metadata."
CDS300-R026,CDS-300,SHOULD,"An MF_ field SHOULD be backed by an Attribute Definition (CDS-200 §7) declaring type, cardinality, dictionary binding, display, facet and channel mappings."
CDS300-R027,CDS-300,MUST NOT,"Where a channel publishes an MF_ attribute as a native or standard field, that is the channel profile's mapping concern; the canonical prefix MUST NOT change."
CDS300-R028,CDS-300,MUST,"CAT_ MUST be used for internal classification and taxonomy assignments, not external taxonomy mappings (those are CH_)."
CDS300-R029,CDS-300,MUST,VAR_ MUST be used for values specific to a sellable unit or variant option (variant boundary rule: CDS-200 §5).
CDS300-R030,CDS-300,MUST,"WF_ fields MUST describe work state, responsibility or approval."
CDS300-R031,CDS-300,MUST+SHOULD,"SYS_ fields MUST represent technical identity, timestamps, versions, process metadata or **computed quality metrics** (e.g. `SYS_completeness_score`), and SHOULD remain hidden from customer-facing channels."
CDS300-R032,CDS-300,MUST,"A QA_ identifier MUST use the form `QA_<channel>_<field_name>`, where `<channel>` is a registered channel key. No other QA_ shape is valid. *(Resolves finding 300-2: the v0.1 registry's own example `QA_completeness_score` would have failed the v0.1 §21 validation; it is now `SYS_completeness_score`.)*"
CDS300-R033,CDS-300,MUST,"The associated verification record MUST retain expected value, observed value, detailed status, comparison strategy and timestamps even where a UI shows only a traffic-light symbol. Status vocabulary and traffic-light mapping are defined solely in CDS-500."
CDS300-R034,CDS-300,MUST NOT+MAY,Legacy `Match_` prefixes MAY be accepted as deprecated aliases (§21) but MUST NOT be used in new design.
CDS300-R035,CDS-300,MUST,"SEO_ MUST be used only for metadata whose primary purpose is search presentation, indexing or discoverability. Legacy fields containing the token ""SEO"" MUST be classified by actual responsibility before migration — production `DF_Airtable_SEO_*` fields were feed fields and migrate to CH_ (REVIEW-002A LEG-3)."
CDS300-R036,CDS-300,MUST,MED_ MUST be used for media assets and media-specific metadata.
CDS300-R037,CDS-300,MUST,"PRC_ and INV_ MUST be used only when the PIM is the declared authority or governed integration surface for those domains (CDS-200 authority model). Where it is not, price and inventory facts observed from their mastering systems use OBS_ or remain outside the visible registry."
CDS300-R038,CDS-300,MUST NOT+MUST,"AI_ fields MUST represent proposals, provenance, confidence or workflow metadata; they MUST NOT replace the canonical field namespace. On acceptance, the value is stored in its semantic canonical field (e.g. `MF_material`) with AI provenance retained per CDS-700."
CDS300-R039,CDS-300,MUST NOT+MUST,IMPORT_ fields MUST retain source provenance and MUST NOT be treated as canonical values; promotion to canonical goes through the value-layer model (CDS-400).
CDS300-R040,CDS-300,MUST NOT+MUST,OBS_ fields MUST hold observed downstream state only and MUST NOT silently overwrite canonical values (CDS-500; CDS-P-02).
CDS300-R041,CDS-300,MUST,"Where separate fields are materially required, the suffix MUST identify display, canonical or facet purpose explicitly."
CDS300-R042,CDS-300,SHOULD NOT,Implementations SHOULD NOT persist redundant per-product representations that the dictionary can derive deterministically.
CDS300-R043,CDS-300,MUST NOT,"Locale MUST NOT be encoded in the visible field identifier; localised values are dimensions of one identifier, declared in the Attribute Definition."
CDS300-R044,CDS-300,MUST NOT+SHOULD,"The identifier MUST NOT be overloaded with type, requiredness or cardinality suffixes when those properties are represented in the schema; suffixes such as `_list`, `_required` or `_text` SHOULD be avoided unless they carry enduring business meaning."
CDS300-R045,CDS-300,MUST,"An extension namespace MUST be registered before use, and its registry entry MUST define purpose, owner, examples, publication behaviour and deprecation policy."
CDS300-R046,CDS-300,MUST NOT+MUST,"An extension prefix MUST satisfy the grammar of §3 and MUST NOT collide, case-insensitively, with **any** prefix in the §4 registry — core, conditional, reserved, recommended-extension or deprecated. *(Resolves finding 300-3: the entire core set is reserved, not only CDS_/TMP_/LEG_/EXT_.)*"
CDS300-R047,CDS-300,MUST NOT,Reserved prefixes MUST NOT be repurposed by an organisation.
CDS300-R048,CDS-300,MUST+SHOULD+MAY,"Forward compatibility: future CDS releases MAY register new core prefixes. Organisation prefixes SHOULD therefore be organisation-distinctive (never generic domain words likely to be standardised). If a later CDS release registers a prefix that collides with an existing organisation extension, the CDS registration prevails and the organisation prefix MUST be migrated using the §21 pattern within t"
CDS300-R049,CDS-300,SHOULD NOT,Organisation prefixes SHOULD NOT encode temporary project names or staff initials.
CDS300-R050,CDS-300,MUST,A deprecated identifier MUST identify its replacement and deprecation date in the registry.
CDS300-R051,CDS-300,MUST+MAY,Aliases MAY be accepted on import but MUST resolve to exactly one canonical identifier; synonymous fields MUST be consolidated or explicitly linked by alias and deprecation metadata.
CDS300-R052,CDS-300,MUST,"Every sanctioned alias prefix MUST carry a registry entry with status `deprecated`, so that §22 validation accepts it during migration. *(Resolves finding 300-4, where the v0.1 chapter's own sanctioned alias failed its own validation; per ADR-D24.)*"
CDS300-R053,CDS-300,MUST+SHOULD,"Renaming MUST include impact analysis covering formulas, imports, exports, channel mappings, automation and verification, and a migration SHOULD preserve old and new fields through a verified transition period (copy → verify → switch → retire) wherever data loss is possible."
CDS300-R054,CDS-300,MUST+SHOULD,"Validation MUST reject an identifier whose namespace has no registry entry (core, extension or deprecated). Deprecated-prefix identifiers MUST be accepted only as aliases per §21 and SHOULD raise a deprecation warning."
CDS300-R055,CDS-300,MUST,"Validation MUST reject identifiers failing the §3 grammar, including empty segments, duplicate underscores, leading or trailing underscores and non-ASCII punctuation."
CDS300-R056,CDS-300,MUST,"Validation MUST verify that the channel key of a CH_, QA_ or OBS_ identifier exists in the channel registry."
CDS300-R057,CDS-300,SHOULD,Validation SHOULD warn on unexplained abbreviations and excessively long identifiers.
CDS300-R058,CDS-300,MUST,"Identifiers MUST be validated before schema or import changes are accepted, and AI-generated field proposals MUST pass the same registry and naming validation as human proposals."
CDS300-R059,CDS-300,SHOULD,"AI systems SHOULD receive the semantic identifier together with its human label, description, data type, dictionary binding and examples — never the identifier alone."
CDS300-R060,CDS-300,MUST NOT,"An AI system MUST NOT infer schema properties from a prefix (e.g. that every MF_ field is free text, that every CH_ field is canonical, or that any prefix implies a storage mechanism)."
CDS400-R001,CDS-400,MUST,"A CDS implementation MUST treat governed values as first-class reference-data entities rather than uncontrolled text wherever consistent reuse, filtering, search, validation or channel mapping is required."
CDS400-R002,CDS-400,MUST,The PIM MUST remain the authority for canonical dictionary values and their mappings.
CDS400-R003,CDS-400,MUST NOT,A customer-facing filter MUST NOT be created by exposing every distinct incoming or display value.
CDS400-R004,CDS-400,MUST,"A dictionary MUST have a declared semantic scope, a named owner and a declared value identity scheme."
CDS400-R005,CDS-400,MUST NOT,Labels MUST NOT be used as the only permanent identifier for governed values.
CDS400-R006,CDS-400,MUST,"The original source value MUST remain available, verbatim with provenance, for audit and reprocessing."
CDS400-R007,CDS-400,MUST,"An Alias Mapping Record MUST resolve to exactly one canonical value within its declared context, unless the mapping is explicitly marked ambiguous and routed for review."
CDS400-R008,CDS-400,MUST,"Facet values, display labels, search synonyms and channel representations MUST be derived from or linked to canonical values rather than maintained as unrelated free text."
CDS400-R009,CDS-400,MUST,Every canonical value MUST have a stable `value_id` or equivalent immutable identity.
CDS400-R010,CDS-400,MUST+SHOULD,A canonical code SHOULD use lowercase ASCII snake_case and MUST remain stable when a display label changes.
CDS400-R011,CDS-400,MUST NOT,Changing a label MUST NOT create a new value identity when the underlying meaning is unchanged.
CDS400-R012,CDS-400,MUST,"Merging or splitting meanings MUST be performed through an explicit governed migration (§24), never a silent label edit."
CDS400-R013,CDS-400,SHOULD+MAY,"Display labels MAY contain spaces, punctuation and brand language; canonical codes SHOULD remain portable and stable."
CDS400-R014,CDS-400,MUST,Source values MUST be retained exactly as received when traceability is required.
CDS400-R015,CDS-400,MUST,An Alias Mapping Record MUST identify the dictionary (via `dictionary_key`) and context in which it is valid.
CDS400-R016,CDS-400,SHOULD,Supplier-specific mappings SHOULD be supported where the same term has different meanings between suppliers.
CDS400-R017,CDS-400,MUST,Canonical values MUST be semantically distinct within their dictionary.
CDS400-R018,CDS-400,SHOULD,Canonical values SHOULD preserve commercially useful detail that would be lost in a broader facet value.
CDS400-R019,CDS-400,MUST NOT,A canonical value MUST NOT be created solely because one supplier uses a unique spelling.
CDS400-R020,CDS-400,SHOULD,A canonical value SHOULD be reused across products and suppliers whenever the meaning is equivalent.
CDS400-R021,CDS-400,MAY,A product MAY use a display label that differs from the value's canonical label.
CDS400-R022,CDS-400,MUST,"A display label MUST remain linked to a canonical value when the field participates in governed filtering, search or channel publication."
CDS400-R023,CDS-400,SHOULD NOT,A display label SHOULD NOT be used as the only search or facet value.
CDS400-R024,CDS-400,MUST NOT+MUST,"Label precedence MUST be resolved in this order: (1) a product-level display label, valid only when recorded as a governed Display Label link to the canonical value; (2) the value's locale display label for the viewer's locale; (3) the value's canonical label. A product-level free-text label with no Display Label link MUST NOT override the value's labels in governed contexts."
CDS400-R025,CDS-400,MUST NOT,"The Facet Dictionary, referenced through the `facet_mappings` property of canonical values, is the single authoritative mechanism for facet membership. Facet membership MUST NOT be derived from the parent hierarchy (§13), from labels or from any other source. *(Resolves CDS-400-2.)*"
CDS400-R026,CDS-400,MUST,Facet values MUST be explicitly governed in a Facet Dictionary or equivalent configuration.
CDS400-R027,CDS-400,MUST+SHOULD,"A facet dictionary SHOULD minimise unnecessary near-duplicate choices while preserving distinctions that materially affect purchase intent. *(Downgraded from MUST: ""minimise"" is not mechanically testable; the testable mechanism is CDS400-R028.)*"
CDS400-R028,CDS-400,MUST,"A new or materially changed facet dictionary MUST have a recorded usability review, covering the §10.1 checklist, before activation."
CDS400-R029,CDS-400,MUST+MAY,`facet_mappings` is an ordered list. The first facet value is the primary membership; a canonical value MUST have exactly one primary facet value per facet dimension and MAY have additional secondary memberships where justified.
CDS400-R030,CDS-400,MUST+MAY,"A multi-colour or multi-material product MAY participate in multiple facet values; the storefront MUST treat the product as one result, never a duplicate. Multicolour is a facet or status value, never a canonical shade (CDS-100 §3)."
CDS400-R031,CDS-400,SHOULD,Channel representations SHOULD be defined at dictionary level rather than repeated on every product.
CDS400-R032,CDS-400,MAY,A product-level channel override MAY be used only when the product genuinely requires a different output and the reason is recorded (override semantics: CDS-500 §21).
CDS400-R033,CDS-400,MUST,"A missing required channel mapping MUST produce a validation or publication error, never silent free-text substitution."
CDS400-R034,CDS-400,MUST NOT+MUST,"Search synonyms MUST NOT change canonical identity, and a synonym that is ambiguous across dictionaries MUST be scoped to the applicable dictionary or attribute."
CDS400-R035,CDS-400,MUST NOT+MUST,Hierarchy and related-value relationships MUST be explicit records and MUST NOT be inferred solely from labels.
CDS400-R036,CDS-400,MUST NOT,A value MUST NOT have circular parent relationships.
CDS400-R037,CDS-400,MUST NOT,"A parent relationship MUST NOT erase, replace or auto-merge the child value."
CDS400-R038,CDS-400,SHOULD,"Related-value links SHOULD state their relationship type: synonym, similar, substitute, compatible or contrast."
CDS400-R039,CDS-400,MUST NOT,A composition MUST NOT be reduced to an unstructured material label when percentages or component roles are required.
CDS400-R040,CDS-400,MUST,Multi-value order MUST be declared significant or insignificant by the Attribute Definition.
CDS400-R041,CDS-400,MAY,Facet membership MAY be derived from each component while the structured composition remains canonical.
CDS400-R042,CDS-400,MUST NOT,Normalisation MUST NOT overwrite the original source value.
CDS400-R043,CDS-400,MUST,Exact governed mappings MUST take precedence over fuzzy or AI-assisted matching.
CDS400-R044,CDS-400,MUST,Numeric and measurement values MUST use type-aware comparison rather than text comparison.
CDS400-R045,CDS-400,MAY,A dictionary MAY define locale-specific or supplier-specific normalisation rules.
CDS400-R046,CDS-400,MUST,Every mapping MUST be scoped at least by dictionary (`dictionary_key`) or attribute.
CDS400-R047,CDS-400,MUST NOT,Ambiguous aliases MUST NOT resolve globally without context.
CDS400-R048,CDS-400,MUST NOT+MUST,"Where context is insufficient to resolve a source term, the term MUST enter review or remain unresolved; it MUST NOT be force-mapped."
CDS400-R049,CDS-400,MUST NOT+MUST,"Implementations MUST record the two statuses as separate enums on their respective entities and MUST NOT conflate them in schemas, UIs or exports."
CDS400-R050,CDS-400,MUST NOT+MUST,Unknown source values MUST be surfaced to a review queue or explicit error process; they MUST NOT be silently dropped.
CDS400-R051,CDS-400,MUST NOT,"Bulk imports MUST NOT silently create new canonical values. Promotion of a source term to a canonical value is an explicit governed act, performed only by roles authorised under §25 — this applies equally to human, scripted and AI-initiated imports."
CDS400-R052,CDS-400,MUST,"A promotion proposal MUST include source evidence, affected products and suggested mappings."
CDS400-R053,CDS-400,MUST,"While a source term for an attribute is `quarantined`, that attribute value MUST be omitted from every projection (display, facet, search, channel) for the affected products. The raw source value is never published as a stand-in."
CDS400-R054,CDS-400,MUST,"Verification of an affected field MUST carry the reason code `CDS_VALUE_QUARANTINED` (reason-code registry: CDS-1100 §21; use in verification: CDS-500). The field is reported as attention-state, not silently skipped."
CDS400-R055,CDS-400,MUST NOT,A quarantined value MUST NOT block publication of the product as a whole unless the affected attribute is declared requiredness-blocking for that channel in its Attribute Definition or channel profile; in that case the product publication fails validation per CDS400-R033.
CDS400-R056,CDS-400,MUST,Measurements MUST separate numeric value from unit identity.
CDS400-R057,CDS-400,MUST,Unit conversions MUST use declared conversion rules and precision.
CDS400-R058,CDS-400,MUST,"An implementation MUST distinguish similarly named units with different definitions, such as short ton and metric tonne."
CDS400-R059,CDS-400,MAY,Display units MAY differ by locale or channel while the canonical measurement remains stable.
CDS400-R060,CDS-400,SHOULD,A colour dictionary SHOULD distinguish canonical shade from broad colour family.
CDS400-R061,CDS-400,MUST NOT+MAY,"Hex, RGB or other digital swatch values MAY be stored but MUST NOT be treated as an exact representation of physical material colour unless measured under a defined process."
CDS400-R062,CDS-400,SHOULD,A product with a branded colour name SHOULD retain that name for display while participating in one or more governed colour facets.
CDS400-R063,CDS-400,MUST,Pattern and colour MUST remain separate attributes even when a supplier combines them in one phrase.
CDS400-R064,CDS-400,MUST,Specific material identity and material family MUST be separate where both are useful.
CDS400-R065,CDS-400,SHOULD,Composition percentages SHOULD be stored as structured values and SHOULD sum according to the organisation's declared tolerance rules.
CDS400-R066,CDS-400,MUST NOT,"Claims such as organic, recycled, vegan or certified MUST NOT be inferred solely from the material name unless governed evidence supports the claim."
CDS400-R067,CDS-400,MUST,"There is one materials dictionary per organisation. Where the same canonical code needs different family or facet treatment in different commercial contexts (e.g. cotton in apparel vs homewares), the treatment MUST be expressed as context-scoped family and facet mappings keyed by `dictionary_key` scope (e.g. `material.apparel`, `material.homewares`) on the shared canonical value — never by forking"
CDS400-R068,CDS-400,MUST,A size value MUST be scoped to a declared size system or scale when the label is not globally unambiguous.
CDS400-R069,CDS-400,MUST,"Display size, canonical size code and measurement chart MUST be separable."
CDS400-R070,CDS-400,SHOULD,Size conversion tables SHOULD be represented as governed mappings with provenance and effective dates.
CDS400-R071,CDS-400,MUST,"Fit descriptors such as slim, regular, relaxed and oversized MUST be maintained separately from size."
CDS400-R072,CDS-400,MUST,Canonical codes and value identifiers MUST remain language-neutral or follow a stable declared base-language policy.
CDS400-R073,CDS-400,MUST,"Localised labels MUST identify locale, not merely language, where regional wording differs."
CDS400-R074,CDS-400,SHOULD,A missing translation SHOULD fall back according to a declared locale policy and SHOULD be visible as a completeness issue.
CDS400-R075,CDS-400,MAY,Search synonyms MAY vary by locale and market.
CDS400-R076,CDS-400,SHOULD,"A mapping change SHOULD record the previous value, the new value, the actor and the affected product count."
